date,000660,AAPL,AMZN,AVGO,BE,GEV,GOOGL,LITE,META,MSFT,MU,NVDA,PLTR,TSLA,VRT
2025-09-16,0.27544597587279496,0.10018983140444783,0.799913486040849,0.07754278365912708,-2.044724914114618,0.5024283037486235,-0.469846241903933,-1.1701463550297986,0.7695867513443391,1.273982827923018,-0.10614798392217664,1.3295011145142188,-0.6835987679192469,-1.4605315450984704,0.8064047334808256
2025-09-17,0.0264181206569767,0.11035271438543219,0.6929096947032743,0.15871847997087113,-2.1078852795510796,0.6047633423565486,-0.4187538668299949,-1.1532387073484094,0.6153285328797983,1.3092606488260257,-0.06001672624600984,1.3919392174570027,-0.6001162495643686,-1.4274858003943691,0.8578058786983013
2025-09-18,0.27295515528969033,0.012376778705475086,0.6445831674961,0.38895824311962224,-2.342769820760013,0.5271622165130971,-0.38840037940070443,-0.9328785397280709,0.5317862310254365,1.1404929213650976,0.0093002006173681,1.4209056458360612,-0.5720201849139251,-1.4487911149874755,0.7363394798222404
2025-09-19,-0.002935934840469838,0.12625205241846404,0.7876553529169038,0.510567632919636,-2.003202007084127,0.6897065751343763,-0.4202199695092765,-1.2154995918465978,0.6242436024102205,1.3450149226091248,-0.22909284145799289,1.3524012165280423,-0.8444413021169669,-1.336854572495019,0.6164048644136824
2025-09-20,0.14622281382170482,-0.030158058855821724,0.7958277261789235,0.5747763919516671,-2.1796454704296626,0.5582850553112942,-0.4017801966111873,-0.9563828893551762,0.6572292138862765,1.2191676140566996,0.05050961940183074,1.3547679448988008,-0.9859334413242847,-1.3566191350670243,0.5537328121359585
2025-09-21,0.14622281382170482,-0.030158058855821724,0.7958277261789235,0.5747763919516671,-2.1796454704296626,0.5582850553112942,-0.4017801966111873,-0.9563828893551762,0.6572292138862765,1.2191676140566996,0.05050961940183074,1.3547679448988008,-0.9859334413242847,-1.3566191350670243,0.5537328121359585
2025-09-22,0.14255075613404888,-0.033450867758502506,0.7907589077768802,0.620547679048019,-2.1783165169111474,0.5537269939314763,-0.4042739549021202,-0.9576841578133162,0.6524584057876658,1.213188543110421,0.047043361312162926,1.3484973102476066,-0.9871711710848351,-1.3570598277292458,0.5491845388508866
2025-09-23,0.3272198932478636,-0.25991158356264166,0.9530482592361693,0.7748341006695899,-2.2287498385505655,0.3769952010020503,-0.3224410783519516,-0.8013829904228849,0.8088419984909706,1.3099148735599355,0.035609295067217495,1.1162522121140406,-0.8710802857929493,-1.4286404711940024,0.20949041448715772
2025-09-24,0.087501242675243,-0.33622278307447406,1.1149196681500453,0.6797510701295507,-1.871448745422895,0.3939878801974542,-0.4191719431791745,-0.9059303314226335,0.8118271869491959,1.3106146721547505,-0.14358328823044203,1.252940341972757,-1.0415561721860025,-1.474859081110194,0.5412302823968191
2025-09-25,0.12385297994777103,-0.4891190573254961,1.0345061175178716,0.5391113429560097,-1.4095945381894481,0.2889320742237671,-0.48450916295992413,-0.7105810217474448,0.6348329131357617,1.211013555886658,0.7331365491823398,1.2614215131310815,-1.2053061059855075,-1.9796885792226424,0.451991419449203
2025-09-26,0.13808766300556513,-0.6504454926406682,1.0293252760639144,0.5350306002866612,-1.4186810090147992,0.47726331812278544,-0.510963213146989,-1.0279139535990613,0.6779881322883387,1.1755430850396855,0.8977631011006408,1.1502288349791243,-1.2436537479288143,-1.705837206191429,0.4762646116350455
2025-09-27,0.5717572245550525,-0.6086622399013721,0.927571354139264,0.5398612481361644,-1.5098575962595557,0.4678773192485119,-0.5068554933157443,-1.0663683318466026,0.6926113022707727,1.0508456256634637,0.8211275062735578,1.0758435476755104,-1.162918681608889,-1.7984574685636379,0.5056246835335043
2025-09-28,0.5717572245550525,-0.6086622399013721,0.927571354139264,0.5398612481361644,-1.5098575962595557,0.4678773192485119,-0.5068554933157443,-1.0663683318466026,0.6926113022707727,1.0508456256634637,0.8211275062735578,1.0758435476755104,-1.162918681608889,-1.7984574685636379,0.5056246835335043
2025-09-29,0.5717572245550525,-0.6086622399013721,0.927571354139264,0.5398612481361644,-1.5098575962595557,0.4678773192485119,-0.5068554933157443,-1.0663683318466026,0.6926113022707727,1.0508456256634637,0.8211275062735578,1.0758435476755104,-1.162918681608889,-1.7984574685636379,0.5056246835335043
2025-09-30,0.4414294395712975,-0.513712195012611,0.9202347283986343,0.7675960984222632,-1.6891857797726901,0.5890969046955586,-0.34117733114191773,-1.0662759067019594,0.772703383343409,1.0802885570212857,0.5825411180816978,0.9921963858854824,-1.1387764467089616,-1.7687629445009008,0.3718039884194124
2025-10-01,0.5488326552096074,-0.3545031853735808,1.0292855853044087,0.7584520168395369,-2.1038092576887113,0.4857919122897466,-0.1805901303369881,-0.9028780621559568,0.8940204309415273,1.046183340764774,0.48826291462709814,0.8301748124978036,-1.0701682962650745,-1.5660738392405358,0.09701910258634404
2025-10-02,0.46733645836958737,-0.2650864276927963,1.0609495203919204,0.7593166666298279,-1.9294253831257153,0.6618798255554457,-0.10679279738688177,-1.0430202834023816,1.127784781782896,1.0851776094626344,0.10334005482302755,0.8758330029397786,-1.008786386525908,-1.5668554909083985,-0.22165115091303594
2025-10-03,0.08241454601724468,-0.27046260992387305,1.1154710890348811,0.733042479665702,-1.9435649242607238,0.7305265121285183,-0.09069575288374948,-1.048477976324282,1.1295616963061454,1.245040986982597,0.07406894226252173,0.8966727341734171,-1.1240480650450302,-1.3352988817048717,-0.19425077642849775
2025-10-04,-0.001876280306822739,-0.3828878040665076,1.151763680268217,0.6565322544412091,-2.053937171837635,0.7961011550165145,-0.13138960503785108,-0.9541986419148206,1.2433869822161705,1.198819730046161,-0.10146010253642183,0.9043357162598954,-0.7927755313033072,-1.3585199743713312,-0.17389440687347027
2025-10-05,-0.004474160894447807,-0.3855740028732136,1.149433212660056,0.6540869925162502,-2.0570107187820077,0.7936882450703522,-0.134017506728446,-0.9570172701956865,1.241077752828771,1.1965001699991997,-0.0651193815817693,0.9019478950134076,-0.795556741813952,-1.3614323240695092,-0.17653216114900402
2025-10-06,-0.007023530848852582,-0.388172581677181,1.147032838974082,0.6516226581172467,-2.059825118924236,0.7912419364385597,-0.13658360374047404,-0.9596896356106094,1.2386892125835223,1.1941058737516501,-0.029444698700826173,0.8995155652192867,-0.798208258920961,-1.364156908869892,-0.1791037477913156
2025-10-07,0.06898195180238248,-0.3036537668231266,1.1423346104102583,0.7563829178420503,-1.8584761291161325,0.7315103309698194,-0.21333818628190895,-0.8134939147308909,1.2312210419897343,1.0714436142701482,-0.006361148296465924,1.0279063948941776,-0.9776333500964709,-1.610127650569354,-0.2466967162642211
2025-10-08,0.006241488022584116,-0.37416348548380085,1.0854429277509128,0.696922547996072,-1.9367150975694563,0.6555532176991434,-0.15502569958174403,-0.7745271699112881,1.2390739469591177,1.1142077593660633,0.19288865675778524,1.0205292884690351,-1.1625714602641524,-1.4717274830338976,-0.13612943717637382
2025-10-09,0.16628435427676697,-0.33063394713610256,1.1079637988829811,0.6199980232255483,-1.7983396030651828,0.5413618313709629,0.011955324522671893,-0.9421054794697719,1.3405189689597818,1.2524029610047196,-0.056089731203873165,1.0281516303894678,-1.1580176843537466,-1.381187648763109,-0.4022627986411151
